hour,num_comments
2024-11-01T00:00:00-04:00,6
2024-11-01T01:00:00-04:00,22
2024-11-01T02:00:00-04:00,28
2024-11-01T03:00:00-04:00,37
2024-11-01T04:00:00-04:00,24
2024-11-01T05:00:00-04:00,37
2024-11-01T06:00:00-04:00,49
2024-11-01T07:00:00-04:00,36
2024-11-01T08:00:00-04:00,54
2024-11-01T09:00:00-04:00,42
2024-11-01T10:00:00-04:00,88
2024-11-01T11:00:00-04:00,109
2024-11-01T12:00:00-04:00,91
2024-11-01T13:00:00-04:00,82
2024-11-01T14:00:00-04:00,247
2024-11-01T15:00:00-04:00,440
2024-11-01T16:00:00-04:00,505
2024-11-01T17:00:00-04:00,575
2024-11-01T18:00:00-04:00,663
2024-11-01T19:00:00-04:00,609
2024-11-01T20:00:00-04:00,628
2024-11-01T21:00:00-04:00,619
2024-11-01T22:00:00-04:00,559
2024-11-01T23:00:00-04:00,447
2024-11-02T00:00:00-04:00,381
2024-11-02T01:00:00-04:00,333
2024-11-02T02:00:00-04:00,289
2024-11-02T03:00:00-04:00,254
2024-11-02T04:00:00-04:00,198
2024-11-02T05:00:00-04:00,213
2024-11-02T06:00:00-04:00,314
2024-11-02T07:00:00-04:00,407
2024-11-02T08:00:00-04:00,810
2024-11-02T09:00:00-04:00,1000
2024-11-02T10:00:00-04:00,1429
2024-11-02T11:00:00-04:00,1556
2024-11-02T12:00:00-04:00,1570
2024-11-02T13:00:00-04:00,1658
2024-11-02T14:00:00-04:00,1532
2024-11-02T15:00:00-04:00,1395
2024-11-02T16:00:00-04:00,1647
2024-11-02T17:00:00-04:00,1528
2024-11-02T18:00:00-04:00,1848
2024-11-02T19:00:00-04:00,3149
2024-11-02T20:00:00-04:00,2225
2024-11-02T21:00:00-04:00,2123
2024-11-02T22:00:00-04:00,1639
2024-11-02T23:00:00-04:00,1444
2024-11-03T00:00:00-04:00,1139
2024-11-03T01:00:00-04:00,1248
2024-11-03T02:00:00-05:00,414
2024-11-03T03:00:00-05:00,355
2024-11-03T04:00:00-05:00,297
2024-11-03T05:00:00-05:00,362
2024-11-03T06:00:00-05:00,547
2024-11-03T07:00:00-05:00,710
2024-11-03T08:00:00-05:00,1150
2024-11-03T09:00:00-05:00,1490
2024-11-03T10:00:00-05:00,1708
2024-11-03T11:00:00-05:00,1989
2024-11-03T12:00:00-05:00,1996
2024-11-03T13:00:00-05:00,1667
2024-11-03T14:00:00-05:00,1716
2024-11-03T15:00:00-05:00,1831
2024-11-03T16:00:00-05:00,1628
2024-11-03T17:00:00-05:00,1560
2024-11-03T18:00:00-05:00,1768
2024-11-03T19:00:00-05:00,1717
2024-11-03T20:00:00-05:00,1765
2024-11-03T21:00:00-05:00,1497
2024-11-03T22:00:00-05:00,1369
2024-11-03T23:00:00-05:00,953
2024-11-04T00:00:00-05:00,682
2024-11-04T01:00:00-05:00,507
2024-11-04T02:00:00-05:00,328
2024-11-04T03:00:00-05:00,332
2024-11-04T04:00:00-05:00,298
2024-11-04T05:00:00-05:00,400
2024-11-04T06:00:00-05:00,611
2024-11-04T07:00:00-05:00,1061
2024-11-04T08:00:00-05:00,1521
2024-11-04T09:00:00-05:00,1956
2024-11-04T10:00:00-05:00,2396
2024-11-04T11:00:00-05:00,2246
2024-11-04T12:00:00-05:00,2516
2024-11-04T13:00:00-05:00,2549
2024-11-04T14:00:00-05:00,2904
2024-11-04T15:00:00-05:00,2938
2024-11-04T16:00:00-05:00,2858
2024-11-04T17:00:00-05:00,3169
2024-11-04T18:00:00-05:00,3001
2024-11-04T19:00:00-05:00,2928
2024-11-04T20:00:00-05:00,3034
2024-11-04T21:00:00-05:00,3150
2024-11-04T22:00:00-05:00,2826
2024-11-04T23:00:00-05:00,2925
2024-11-05T00:00:00-05:00,2859
2024-11-05T01:00:00-05:00,1894
2024-11-05T02:00:00-05:00,1287
2024-11-05T03:00:00-05:00,823
2024-11-05T04:00:00-05:00,677
2024-11-05T05:00:00-05:00,1063
2024-11-05T06:00:00-05:00,1579
2024-11-05T07:00:00-05:00,2510
2024-11-05T08:00:00-05:00,3005
2024-11-05T09:00:00-05:00,3608
2024-11-05T10:00:00-05:00,4140
2024-11-05T11:00:00-05:00,4896
2024-11-05T12:00:00-05:00,5096
2024-11-05T13:00:00-05:00,5601
2024-11-05T14:00:00-05:00,5437
2024-11-05T15:00:00-05:00,5692
2024-11-05T16:00:00-05:00,6609
2024-11-05T17:00:00-05:00,8043
2024-11-05T18:00:00-05:00,10016
2024-11-05T19:00:00-05:00,18381
2024-11-05T20:00:00-05:00,23194
2024-11-05T21:00:00-05:00,28629
2024-11-05T22:00:00-05:00,39524
2024-11-05T23:00:00-05:00,40219
2024-11-06T00:00:00-05:00,31478
2024-11-06T01:00:00-05:00,26191
2024-11-06T02:00:00-05:00,21429
2024-11-06T03:00:00-05:00,12608
2024-11-06T04:00:00-05:00,6797
2024-11-06T05:00:00-05:00,5638
2024-11-06T06:00:00-05:00,10099
2024-11-06T07:00:00-05:00,9829
2024-11-06T08:00:00-05:00,6288
2024-11-06T09:00:00-05:00,4459
2024-11-06T10:00:00-05:00,4481
2024-11-06T11:00:00-05:00,5353
2024-11-06T12:00:00-05:00,5015
2024-11-06T13:00:00-05:00,5258
2024-11-06T14:00:00-05:00,4940
2024-11-06T15:00:00-05:00,4294
2024-11-06T16:00:00-05:00,4511
2024-11-06T17:00:00-05:00,3639
2024-11-06T18:00:00-05:00,3114
2024-11-06T19:00:00-05:00,2870
2024-11-06T20:00:00-05:00,2367
2024-11-06T21:00:00-05:00,2192
2024-11-06T22:00:00-05:00,1698
2024-11-06T23:00:00-05:00,1487
2024-11-07T00:00:00-05:00,1143
2024-11-07T01:00:00-05:00,909
2024-11-07T02:00:00-05:00,759
2024-11-07T03:00:00-05:00,560
2024-11-07T04:00:00-05:00,546
2024-11-07T05:00:00-05:00,628
2024-11-07T06:00:00-05:00,736
2024-11-07T07:00:00-05:00,1101
2024-11-07T08:00:00-05:00,1449
2024-11-07T09:00:00-05:00,1920
2024-11-07T10:00:00-05:00,1992
2024-11-07T11:00:00-05:00,2097
2024-11-07T12:00:00-05:00,2194
2024-11-07T13:00:00-05:00,2155
2024-11-07T14:00:00-05:00,2129
2024-11-07T15:00:00-05:00,2268
2024-11-07T16:00:00-05:00,2274
2024-11-07T17:00:00-05:00,1958
2024-11-07T18:00:00-05:00,1451
2024-11-07T19:00:00-05:00,1398
2024-11-07T20:00:00-05:00,1362
2024-11-07T21:00:00-05:00,1038
2024-11-07T22:00:00-05:00,771
2024-11-07T23:00:00-05:00,623
2024-11-08T00:00:00-05:00,505
2024-11-08T01:00:00-05:00,366
2024-11-08T02:00:00-05:00,324
2024-11-08T03:00:00-05:00,263
2024-11-08T04:00:00-05:00,199
2024-11-08T05:00:00-05:00,283
2024-11-08T06:00:00-05:00,275
2024-11-08T07:00:00-05:00,357
2024-11-08T08:00:00-05:00,369
2024-11-08T09:00:00-05:00,348
2024-11-08T10:00:00-05:00,294
2024-11-08T11:00:00-05:00,202
2024-11-08T12:00:00-05:00,151
2024-11-08T13:00:00-05:00,133
2024-11-08T14:00:00-05:00,127
2024-11-08T15:00:00-05:00,110
2024-11-08T16:00:00-05:00,124
2024-11-08T17:00:00-05:00,102
2024-11-08T18:00:00-05:00,66
2024-11-08T19:00:00-05:00,53
2024-11-08T20:00:00-05:00,40
2024-11-08T21:00:00-05:00,39
2024-11-08T22:00:00-05:00,41
2024-11-08T23:00:00-05:00,37
2024-11-09T00:00:00-05:00,30
2024-11-09T01:00:00-05:00,40
2024-11-09T02:00:00-05:00,24
2024-11-09T03:00:00-05:00,25
2024-11-09T04:00:00-05:00,24
2024-11-09T05:00:00-05:00,45
2024-11-09T06:00:00-05:00,62
2024-11-09T07:00:00-05:00,65
2024-11-09T08:00:00-05:00,66
2024-11-09T09:00:00-05:00,75
2024-11-09T10:00:00-05:00,88
2024-11-09T11:00:00-05:00,87
2024-11-09T12:00:00-05:00,55
2024-11-09T13:00:00-05:00,42
2024-11-09T14:00:00-05:00,57
2024-11-09T15:00:00-05:00,38
2024-11-09T16:00:00-05:00,52
2024-11-09T17:00:00-05:00,48
